"","from_id","to_id","travel_time_p50"
"821","13867","2",21
"822","13867","3",23
"823","13869","1",23
"824","13869","2",24
"825","13869","3",26
"826","13871","1",22
"827","13871","2",23
"828","13871","3",25
"829","13875","1",19
"830","13875","2",21
"831","13875","3",23
"832","14070","1",13
"833","14070","2",19
"834","14070","3",21
"835","14071","1",13
"836","14071","2",20
"837","14071","3",22
"838","14089","1",20
"839","14089","2",22
"840","14089","3",24
"841","14093","1",21
"842","14093","2",23
"843","14093","3",25
"844","14098","1",23
"845","14098","2",24
"846","14098","3",26
"847","14103","1",19
"848","14103","2",20
"849","14103","3",22
"850","14314","1",18
"851","14314","2",23
"852","14314","3",25
"853","14319","1",21
"854","14319","2",22
"855","14319","3",24
"856","14320","1",22
"857","14320","2",23
"858","14320","3",26
"859","14329","1",19
"860","14329","2",20
"861","14329","3",22
"862","14331","1",20
"863","14331","2",21
"864","14331","3",23
"865","14467","1",38
"866","14467","2",37
"867","14467","3",38
"868","14507","1",29
"869","14507","2",28
"870","14507","3",29
"871","14555","1",21
"872","14555","2",23
"873","14555","3",25
"874","14697","1",38
"875","14697","2",38
"876","14697","3",38
"877","14737","1",29
"878","14737","2",28
"879","14737","3",29
"880","14768","1",19
"881","14768","2",24
"882","14768","3",26
"883","14772","1",17
"884","14772","2",21
"885","14772","3",23
"886","14774","1",17
"887","14774","2",22
"888","14774","3",24
"889","14775","1",18
"890","14775","2",23
"891","14775","3",25
"892","14777","1",21
"893","14777","2",22
"894","14777","3",24
"895","14779","1",19
"896","14779","2",20
"897","14779","3",23
"898","14783","1",20
"899","14783","2",21
"900","14783","3",23
"901","14929","1",38
"902","14929","2",37
"903","14929","3",38
"904","14931","1",38
"905","14931","2",37
"906","14931","3",37
"907","14932","1",38
"908","14932","2",37
"909","14932","3",38
"910","15000","1",19
"911","15000","2",23
"912","15000","3",25
"913","15002","1",16
"914","15002","2",21
"915","15002","3",23
"916","15004","1",16
"917","15004","2",21
"918","15004","3",23
"919","15008","1",21
"920","15008","2",22
"921","15008","3",24
"922","15010","1",20
"923","15010","2",21
"924","15010","3",23
"925","15016","1",21
"926","15016","2",22
"927","15016","3",24
"928","15162","1",37
"929","15162","2",36
"930","15162","3",37
"931","15163","1",37
"932","15163","2",36
"933","15163","3",37
"934","15232","1",17
"935","15232","2",22
"936","15232","3",24
"937","15233","1",17
"938","15233","2",22
"939","15233","3",24
"940","15234","1",16
"941","15234","2",21
"942","15234","3",23
"943","15236","1",17
"944","15236","2",21
"945","15236","3",23
"946","15303","1",30
"947","15303","2",7
"948","15303","3",22
"949","15444","1",16
"950","15444","2",26
"951","15444","3",28
"952","15451","1",13
"953","15451","2",20
"954","15451","3",22
"955","15452","1",12
"956","15452","2",19
"957","15452","3",21
"958","15454","1",12
"959","15454","2",19
"960","15454","3",21
"961","15465","1",16
"962","15465","2",20
"963","15465","3",22
"964","15468","1",18
"965","15468","2",22
"966","15468","3",24
"967","15469","1",17
"968","15469","2",22
"969","15469","3",24
"970","15470","1",17
"971","15470","2",22
"972","15470","3",24
"973","15472","1",20
"974","15472","2",24
"975","15472","3",26
"976","15478","1",20
"977","15478","2",21
"978","15478","3",23
"979","15480","1",18
"980","15480","2",19
"981","15480","3",21
"982","15621","1",37
"983","15621","2",36
"984","15621","3",37
"985","15626","1",36
"986","15626","2",35
"987","15626","3",36
"988","15651","1",27
"989","15651","2",26
"990","15651","3",26
"991","15653","1",27
"992","15653","2",26
